BSB,BSB,BSBA,BR,SA,-15.860556,-47.915278,369087,Brasilia
BGO,BGO,BERI,NO,EU,60.293611,5.219444,368267,Bergen
TJM,TJM,TYUM,RU,EU,57.189567,65.324300,365570,Tyumen
DAD,DAD,DADV,VN,AS,16.042222,108.203611,358497,Da Nang
HRG,HRG,HURG,EG,AF,27.178759,33.801069,355919,Hurghada
FOR,FOR,FORA,BR,SA,-3.776667,-38.534444,354759,Fortaleza
KTW,KTW,KATO,PL,EU,50.473621,19.080591,346205,Katowice
ASR,ASR,KAYS,TR,AS,38.770386,35.495428,345213,Kayseri
BLL,BLL,BILL,DK,EU,55.738333,9.150000,345020,Billund
BWI,WAS,WASA,US,NA,39.175556,-76.671389,342676,Washington
PUJ,PUJ,PUJA,DO,NA,18.566667,-68.383333,340857,Punta Cana
BAH,BAH,BAHA,BH,AS,26.270833,50.637500,340349,Bahrain
AMD,AMD,IAMD,IN,AS,23.066389,72.624167,336191,Ahmedabad
REC,REC,RECA,BR,SA,-8.125833,-34.923889,333776,Recife
FRU,FRU,FRUA,KG,AS,43.061389,74.477500,331844,Bishkek
BRE,BRE,BREM,DE,EU,53.046667,8.790000,328990,Bremen
MRU,MRU,MRUA,MU,AF,-20.427500,57.676389,328537,Mauritius
GDL,GDL,GDLA,MX,NA,20.523889,-103.312500,327314,Guadalajara
POA,POA,POAA,BR,SA,-29.993333,-51.170833,326863,Porto Alegre
BDS,BDS,BRIN,IT,EU,40.658056,17.946667,326699,Brindisi
TZX,TZX,TRAB,TR,AS,40.998611,39.776389,326500,Trabzon
AHO,AHO,ALGS,IT,EU,40.630556,8.288889,326405,Alghero Sardinia
SGC,SGC,SURG,RU,EU,61.343694,73.401842,320803,Surgut
GOA,GOA,GENO,IT,EU,44.413056,8.837778,320231,Genoa
SEN,LON,LOND,UK,EU,51.572800,0.701400,319605,London
OLB,OLB,OLBI,IT,EU,40.898593,9.517250,318750,Olbia
UIO,UIO,UIOA,EC,SA,-0.137778,-78.486111,311946,Quito
RGN,RGN,RGNM,MM,AS,16.906389,96.138889,309598,Yangon
TAS,TAS,TASA,UZ,AS,41.250000,69.283333,309197,Tashkent
MMK,MMK,MURM,RU,EU,68.781208,32.753034,307580,Murmansk
MSY,MSY,MSYA,US,NA,29.991111,-90.251389,307044,New Orleans
MCT,MCT,MCTA,OM,AS,23.591667,58.279167,304968,Muscat
CCU,CCU,ICCU,IN,AS,22.652500,88.449167,304825,Kolkata
NYO,STO,STOC,SE,EU,58.788636,16.912189,304693,Stockholm
LUX,LUX,LUXE,LU,EU,49.627778,6.206667,304194,Luxembourg
WLG,WLG,WLGN,NZ,OC,-41.323889,174.801389,303437,Wellington
GRO,GRO,GERO,ES,EU,41.909167,2.763333,301873,Gerona
